"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","ECU","Ecuador","2018","2018",,"a","Category not applicable"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","ECU","Ecuador","2019","2019",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","ECU","Ecuador","2020","2020",,"n","Magnitude nil or negligible"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2010","2010",991.237,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2011","2011",1393.55982,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2012","2012",1191.92939,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2013","2013",1288.3952,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2014","2014",1365.68896,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2015","2015",1740.39396,"‡","UIS Estimation"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2016","2016",1685.88095,"‡","UIS Estimation"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2017","2017",1862.12049,"‡","UIS Estimation"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","UGA","Uganda","2018","2018",1819.60075,"‡","UIS Estimation"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2010","2010",763.86052,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2011","2011",745.89462,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2012","2012",791.9249,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2013","2013",865.85391,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2014","2014",1221.5256,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2015","2015",1257.13586,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2016","2016",1259.54956,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2017","2017",1310.37534,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2018","2018",1309.29602,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2019","2019",1326.12358,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MUS","Mauritius","2020","2020",1333.6865,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","KAZ","Kazakhstan","2015","2015",12168.07583,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","KAZ","Kazakhstan","2016","2016",13137.9705,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","KAZ","Kazakhstan","2017","2017",12632.86884,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","KAZ","Kazakhstan","2018","2018",12506.02872,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","KAZ","Kazakhstan","2019","2019",14272.90103,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2010","2010",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2011","2011",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2012","2012",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2013","2013",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2014","2014",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2015","2015",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2016","2016",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2017","2017",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GIN","Guinea","2018","2018",,"n","Magnitude nil or negligible"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2010","2010",7692.41881,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2011","2011",7749.63575,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2013","2013",8028.43852,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2014","2014",8348.00109,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2015","2015",8202.69092,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2016","2016",8378.22677,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2017","2017",8599.19415,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","BEL","Belgium","2018","2018",8956.52636,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2010","2010",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2011","2011",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2012","2012",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2013","2013",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2014","2014",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2015","2015",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2016","2016",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2017","2017",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2018","2018",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ARG","Argentina","2019","2019",,"a","Category not applicable"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SMR","San Marino","2010","2010",60.5449,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SMR","San Marino","2011","2011",57.07588,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SMR","San Marino","2017","2017",68.40035,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SMR","San Marino","2018","2018",73.27377,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","PAN","Panama","2011","2011",1.85122,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","UGA","Uganda","2010","2010",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","UGA","Uganda","2011","2011",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","UGA","Uganda","2012","2012",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","UGA","Uganda","2013","2013",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","UGA","Uganda","2014","2014",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2010","2010",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2011","2011",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2013","2013",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2014","2014",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2015","2015",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2016","2016",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CYP","Cyprus","2017","2017",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","TUN","Tunisia","2010","2010",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","TUN","Tunisia","2015","2015",355.16848,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","DZA","Algeria","2014","2014",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","DZA","Algeria","2016","2016",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","DZA","Algeria","2017","2017",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","DZA","Algeria","2018","2018",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","DZA","Algeria","2019","2019",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","DZA","Algeria","2020","2020",,"a","Category not applicable"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","GAB","Gabon","2010","2010",279.27671,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","GAB","Gabon","2011","2011",261.48873,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","GAB","Gabon","2012","2012",276.00295,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","GAB","Gabon","2013","2013",392.26631,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","GAB","Gabon","2014","2014",300.37807,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2010","2010",911.93498,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2011","2011",1141.61458,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2012","2012",1048.15612,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2013","2013",825.18576,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2014","2014",1740.2207,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2015","2015",843.02208,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2016","2016",878.96479,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2017","2017",1089.34635,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2018","2018",972.3139,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2019","2019",1528.06835,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HKG","China, Hong Kong Special Administrative Region","2020","2020",1170.91912,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","NZL","New Zealand","2013","2013",2877.12233,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","NZL","New Zealand","2014","2014",2763.66518,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","NZL","New Zealand","2015","2015",2936.79263,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","NZL","New Zealand","2016","2016",2870.40424,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","NZL","New Zealand","2017","2017",2920.29188,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","NZL","New Zealand","2018","2018",3143.84543,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2010","2010",14726.56493,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2011","2011",13150.54194,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2012","2012",12991.23131,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2013","2013",13881.12376,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2014","2014",14709.47687,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2015","2015",15087.72487,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2016","2016",15138.18978,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2017","2017",16875.90481,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ROU","Romania","2018","2018",19051.35394,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","TLS","Timor-Leste","2010","2010",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","TLS","Timor-Leste","2011","2011",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","TLS","Timor-Leste","2012","2012",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","TLS","Timor-Leste","2013","2013",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","TLS","Timor-Leste","2014","2014",,"n","Magnitude nil or negligible"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2010","2010",103.59815,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2011","2011",101.69616,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2012","2012",80.81704,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2013","2013",86.74287,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2014","2014",100.60991,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2015","2015",120.75625,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2016","2016",123.57741,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ARM","Armenia","2017","2017",128.51679,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LUX","Luxembourg","2012","2012",249.58047,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LUX","Luxembourg","2013","2013",328.58088,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LUX","Luxembourg","2014","2014",313.99287,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LUX","Luxembourg","2015","2015",331.62348,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LUX","Luxembourg","2017","2017",316.44143,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LUX","Luxembourg","2018","2018",284.2133,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2010","2010",11214.14945,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2011","2011",11277.49626,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2012","2012",11890.77732,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2013","2013",11391.03076,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2014","2014",11077.35084,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2015","2015",11487.01678,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2016","2016",12093.28178,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2017","2017",12252.51213,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","NZL","New Zealand","2018","2018",12311.40263,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2010","2010",21.25121,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2011","2011",15.26309,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2012","2012",13.55902,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2013","2013",25.52654,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2014","2014",31.35396,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2015","2015",28.58045,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2016","2016",0.97898,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","MLT","Malta","2017","2017",0.84454,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","TUR","Turkey","2018","2018",,"n","Magnitude nil or negligible"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2010","2010",221.87346,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2011","2011",204.24766,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2012","2012",227.0701,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2013","2013",247.06239,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2014","2014",241.71521,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2015","2015",313.01375,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","MDV","Maldives","2016","2016",315.68557,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","CAF","Central African Republic","2010","2010",60.31276,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","CAF","Central African Republic","2011","2011",62.29802,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HRV","Croatia","2010","2010",67.39177,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HRV","Croatia","2011","2011",66.6387,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HRV","Croatia","2013","2013",201.66369,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HRV","Croatia","2014","2014",219.02816,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","HRV","Croatia","2015","2015",,"n","Magnitude nil or negligible"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2010","2010",4193.37609,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2011","2011",3640.32688,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2012","2012",3398.88102,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2013","2013",3267.56375,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2014","2014",3184.3165,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2015","2015",3193.23207,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2016","2016",3599.64593,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2017","2017",3902.62828,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","ROU","Romania","2018","2018",4284.9274,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","STP","Sao Tome and Principe","2012","2012",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","STP","Sao Tome and Principe","2013","2013",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","STP","Sao Tome and Principe","2014","2014",,"a","Category not applicable"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MMR","Myanmar","2011","2011",238.43622,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MMR","Myanmar","2017","2017",559.98391,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MMR","Myanmar","2018","2018",718.94133,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MMR","Myanmar","2019","2019",795.04099,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","BIH","Bosnia and Herzegovina","2016","2016",1652.0969,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","BIH","Bosnia and Herzegovina","2018","2018",18.10211,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2010","2010",272.64489,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2012","2012",230.01643,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2013","2013",224.01984,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2014","2014",263.52887,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2016","2016",206.61004,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2017","2017",196.39587,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2019","2019",143.95689,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","BRB","Barbados","2020","2020",192.79815,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","THA","Thailand","2014","2014",,"a","Category not applicable"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","FRA","France","2017","2017",,"a","Category not applicable"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","FRA","France","2018","2018",,"n","Magnitude nil or negligible"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","URY","Uruguay","2011","2011",753.48964,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","URY","Uruguay","2016","2016",879.72253,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","URY","Uruguay","2017","2017",897.79013,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","URY","Uruguay","2018","2018",933.78011,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","URY","Uruguay","2019","2019",895.24655,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","GNB","Guinea-Bissau","2010","2010",49.15113,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","GNB","Guinea-Bissau","2011","2011",53.04037,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","GNB","Guinea-Bissau","2012","2012",56.15007,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","GNB","Guinea-Bissau","2013","2013",61.78629,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","MDV","Maldives","2010","2010",,"n","Magnitude nil or negligible"
